,tfidf,w2v,d2v,bert,sbert
cassandra-baseline,0.06384455239417071,0.04233171408743928,0.0388619014573213,0.047883414295628035,0.06453851492019431
groovy-baseline,0.2684752104770814,0.23479887745556596,0.225444340505145,0.2637979420018709,0.2993451824134705
hadoop-baseline,0.008476970895733259,0.00734670810963549,0.009324667985306585,0.010172365074879909,0.01723650748799096
hbase-baseline,0.06236442516268981,0.05260303687635575,0.05260303687635575,0.05151843817787419,0.052060737527114966
hive-baseline,0.11348256116605934,0.041644976574700676,0.04737116085372202,0.062467464862051014,0.13430504945340968
infinispan-baseline,0.14469453376205788,0.1339764201500536,0.1457663451232583,0.12004287245444802,0.19614147909967847
lucene-baseline,0.12090680100755667,0.11838790931989925,0.13602015113350127,0.10831234256926953,0.13602015113350127
spark-baseline,0.04652644996813257,0.04206500956022945,0.04716379859783301,0.03824091778202677,0.0662842574888464
wildfly-baseline,0.11930091185410334,0.0729483282674772,0.06155015197568389,0.06534954407294832,0.12879939209726443
cassandra-lower,0.06384455239417071,0.04302567661346287,0.03678001387925052,0.047883414295628035,0.06453851492019431
groovy-lower,0.2684752104770814,0.26192703461178674,0.23012160898035547,0.2637979420018709,0.2993451824134705
hadoop-lower,0.008476970895733259,0.00734670810963549,0.013563153433173212,0.010172365074879909,0.01723650748799096
hbase-lower,0.06236442516268981,0.05422993492407809,0.052060737527114966,0.05151843817787419,0.052060737527114966
hive-lower,0.11348256116605934,0.07183758459135867,0.045288912024986985,0.062467464862051014,0.13430504945340968
infinispan-lower,0.14469453376205788,0.1382636655948553,0.1307609860664523,0.12004287245444802,0.19614147909967847
lucene-lower,0.12090680100755667,0.11502938706968933,0.12258606213266163,0.10831234256926953,0.13602015113350127
spark-lower,0.04652644996813257,0.04397705544933078,0.038878266411727216,0.03824091778202677,0.0662842574888464
wildfly-lower,0.11930091185410334,0.06496960486322188,0.06306990881458967,0.06534954407294832,0.12879939209726443
cassandra-camel,0.05412907702984039,0.03816793893129771,0.0388619014573213,0.04718945176960444,0.0791117279666898
groovy-camel,0.31711880261927033,0.24789522918615528,0.22170252572497662,0.2609915809167446,0.29186155285313375
hadoop-camel,0.012150324950551003,0.006781576716586606,0.010737496467928794,0.008194405199208816,0.015541113308844307
hbase-camel,0.05477223427331887,0.05368763557483731,0.05477223427331887,0.06182212581344902,0.055856832971800434
hive-camel,0.07704320666319625,0.04320666319625195,0.048932847475273294,0.06090577824049974,0.11035918792295679
infinispan-camel,0.1757770632368703,0.14255091103965703,0.1382636655948553,0.11254019292604502,0.18435155412647375
lucene-camel,0.13014273719563393,0.11335012594458438,0.11754827875734676,0.11083123425692695,0.14693534844668346
spark-camel,0.05417463352453792,0.040152963671128104,0.036328871892925434,0.04652644996813257,0.07903123008285533
wildfly-camel,0.1033434650455927,0.0668693009118541,0.06876899696048633,0.08092705167173252,0.1356382978723404
cassandra-lowcamel,0.05412907702984039,0.04580152671755725,0.0388619014573213,0.04718945176960444,0.0791117279666898
groovy-lowcamel,0.31711880261927033,0.2637979420018709,0.2684752104770814,0.2609915809167446,0.29186155285313375
hadoop-lowcamel,0.012150324950551003,0.008194405199208816,0.015258547612319864,0.008194405199208816,0.015541113308844307
hbase-lowcamel,0.05477223427331887,0.046637744034707156,0.05151843817787419,0.06182212581344902,0.055856832971800434
hive-lowcamel,0.07704320666319625,0.05101509630400833,0.059344091618948464,0.06090577824049974,0.11035918792295679
infinispan-lowcamel,0.1757770632368703,0.12754555198285103,0.1382636655948553,0.11254019292604502,0.18435155412647375
lucene-lowcamel,0.13014273719563393,0.12678421494542402,0.11754827875734676,0.11083123425692695,0.14693534844668346
spark-lowcamel,0.05417463352453792,0.03824091778202677,0.038878266411727216,0.04652644996813257,0.07903123008285533
wildfly-lowcamel,0.1033434650455927,0.06610942249240122,0.07218844984802432,0.08092705167173252,0.1356382978723404
cassandra-stop,0.06662040249826509,0.04233171408743928,0.055517002081887576,0.04580152671755725,0.07702984038861901
groovy-stop,0.3115060804490178,0.2609915809167446,0.29560336763330214,0.2432179607109448,0.3058933582787652
hadoop-stop,0.011302627860977677,0.00734670810963549,0.012715456343599886,0.011020062164453235,0.012432890647075446
hbase-stop,0.049891540130151846,0.049891540130151846,0.048264642082429504,0.05802603036876356,0.052060737527114966
hive-stop,0.08328995314940135,0.04685059864653826,0.05726184279021343,0.055179593961478396,0.10255075481520042
infinispan-stop,0.13504823151125403,0.1382636655948553,0.1189710610932476,0.1189710610932476,0.17684887459807075
lucene-stop,0.15449202350965574,0.11670864819479429,0.13685978169605373,0.11922753988245172,0.14273719563392107
spark-stop,0.05289993626513703,0.038878266411727216,0.042702358189929894,0.040152963671128104,0.05608667941363926
wildfly-stop,0.11664133738601824,0.07218844984802432,0.08130699088145897,0.08472644376899696,0.13335866261398177
cassandra-lemma,0.05759888965995836,0.04441360166551006,0.055517002081887576,0.03747397640527411,0.06176266481609993
groovy-lemma,0.31524789522918617,0.24976613657623947,0.2684752104770814,0.2469597754911132,0.31337698783910195
hadoop-lemma,0.020062164453235377,0.008194405199208816,0.008194405199208816,0.011302627860977677,0.015541113308844307
hbase-lemma,0.06453362255965293,0.05368763557483731,0.049891540130151846,0.0596529284164859,0.048264642082429504
hive-lemma,0.08849557522123894,0.05413846954711088,0.04476834981780323,0.06819364914107236,0.107756376887038
infinispan-lemma,0.16613076098606644,0.12540192926045016,0.15112540192926044,0.11682743837084673,0.17256162915326903
lucene-lemma,0.12426532325776658,0.10747271200671704,0.11335012594458438,0.10327455919395466,0.16036943744752308
spark-lemma,0.04461440407903123,0.04461440407903123,0.042702358189929894,0.04525175270873168,0.05736137667304015
wildfly-lemma,0.11930091185410334,0.07066869300911854,0.08358662613981763,0.10258358662613981,0.1413373860182371
