,tfidf,w2v,d2v,bert,sbert
cassandra-baseline,0.22692574600971546,0.26995142262317834,0.2477446217904233,0.1707147814018043,0.22900763358778625
groovy-baseline,0.6248830682881198,0.6548175865294668,0.6295603367633302,0.6239476145930777,0.608044901777362
hadoop-baseline,0.12771969482904774,0.14326080813789205,0.13421870584910991,0.09805029669398135,0.14326080813789205
hbase-baseline,0.2098698481561822,0.232646420824295,0.2380694143167028,0.17787418655097614,0.20119305856832972
hive-baseline,0.2946382092660073,0.32639250390421654,0.34513274336283184,0.2514315460697553,0.32535137948984905
infinispan-baseline,0.4265809217577706,0.5359056806002144,0.5391211146838156,0.3440514469453376,0.42979635584137194
lucene-baseline,0.35852225020990763,0.39210747271200674,0.42149454240134343,0.30982367758186397,0.37615449202350965
spark-baseline,0.21351179094964945,0.2390057361376673,0.23390694710006374,0.1408540471637986,0.23709369024856597
wildfly-baseline,0.3958966565349544,0.4331306990881459,0.3860182370820669,0.3499240121580547,0.41641337386018235
cassandra-lower,0.22692574600971546,0.23108952116585704,0.2227619708535739,0.1707147814018043,0.22900763358778625
groovy-lower,0.6248830682881198,0.6501403180542563,0.6304957904583723,0.6239476145930777,0.608044901777362
hadoop-lower,0.12771969482904774,0.136196665724781,0.13054535179429216,0.09805029669398135,0.14326080813789205
hbase-lower,0.2098698481561822,0.2245119305856833,0.23535791757049893,0.17787418655097614,0.20119305856832972
hive-lower,0.2946382092660073,0.31285788651743884,0.31025507548152004,0.2514315460697553,0.32535137948984905
infinispan-lower,0.4265809217577706,0.5294748124330118,0.4962486602357985,0.3440514469453376,0.42979635584137194
lucene-lower,0.35852225020990763,0.4063811922753988,0.40134340890008396,0.30982367758186397,0.37615449202350965
spark-lower,0.21351179094964945,0.19949012109623965,0.21606118546845124,0.1408540471637986,0.23709369024856597
wildfly-lower,0.3958966565349544,0.4228723404255319,0.38259878419452886,0.3499240121580547,0.41641337386018235
cassandra-camel,0.2227619708535739,0.24843858431644691,0.2498265093684941,0.18181818181818182,0.22692574600971546
groovy-camel,0.6061739943872778,0.656688493919551,0.6445275958840038,0.6361085126286249,0.5715622076707203
hadoop-camel,0.13902232269002543,0.15089008194405198,0.13224074597343882,0.08476970895733257,0.13450127154563435
hbase-camel,0.20878524945770066,0.23210412147505424,0.22668112798264642,0.1816702819956616,0.20336225596529284
hive-camel,0.29672045809474235,0.3321186881832379,0.33524206142634044,0.22644456012493494,0.3118167621030713
infinispan-camel,0.4137191854233655,0.4737406216505895,0.5144694533762058,0.4008574490889603,0.4565916398713826
lucene-camel,0.36859781696053734,0.3929471032745592,0.4105793450881612,0.30310663308144414,0.3971452560873216
spark-camel,0.21159974506054813,0.25047801147227533,0.24219247928616955,0.17144678138942002,0.23581899298916506
wildfly-camel,0.4194528875379939,0.428951367781155,0.3905775075987842,0.3636018237082067,0.4243920972644377
cassandra-lowcamel,0.2227619708535739,0.24080499653018736,0.22761970853573907,0.18181818181818182,0.22692574600971546
groovy-lowcamel,0.6061739943872778,0.6389148737137512,0.6117867165575304,0.6361085126286249,0.5715622076707203
hadoop-lowcamel,0.13902232269002543,0.12432890647075445,0.12856739191862107,0.08476970895733257,0.13450127154563435
hbase-lowcamel,0.20878524945770066,0.22071583514099782,0.2304772234273319,0.1816702819956616,0.20336225596529284
hive-lowcamel,0.29672045809474235,0.2956793336803748,0.293076522644456,0.22644456012493494,0.3118167621030713
infinispan-lowcamel,0.4137191854233655,0.46195069667738475,0.4437299035369775,0.4008574490889603,0.4565916398713826
lucene-lowcamel,0.36859781696053734,0.35768261964735515,0.3971452560873216,0.30310663308144414,0.3971452560873216
spark-lowcamel,0.21159974506054813,0.19949012109623965,0.212874442319949,0.17144678138942002,0.23581899298916506
wildfly-lowcamel,0.4194528875379939,0.4175531914893617,0.3939969604863222,0.3636018237082067,0.4243920972644377
cassandra-stop,0.2366412213740458,0.260235947258848,0.25607217210270644,0.17002081887578072,0.2366412213740458
groovy-stop,0.6099158091674463,0.6192703461178671,0.5958840037418148,0.6361085126286249,0.5827876520112254
hadoop-stop,0.14326080813789205,0.1226335122916078,0.13252331166996326,0.08872562870867477,0.1367617971178299
hbase-stop,0.20065075921908893,0.21258134490238612,0.23156182212581344,0.17787418655097614,0.18655097613882862
hive-stop,0.28474752732951586,0.30973451327433627,0.3399271212909943,0.22904737116085372,0.30973451327433627
infinispan-stop,0.4255091103965702,0.45230439442658094,0.4812433011789925,0.42979635584137194,0.4255091103965702
lucene-stop,0.380352644836272,0.36859781696053734,0.3929471032745592,0.3333333333333333,0.3811922753988245
