,tfidf,w2v,d2v,bert,sbert
cassandra-baseline,0.03538646534133192,0.02175142929831754,0.020094468578996293,0.018807241606022405,0.03598202954889382
groovy-baseline,0.17939703175570068,0.15132383908089697,0.14153714458315586,0.16071169167052446,0.20319834683149354
hadoop-baseline,0.004548469492181386,0.0032978724968800452,0.003633794903413476,0.0034378708846713154,0.006888134363808564
hbase-baseline,0.02319947608016361,0.017335105713971222,0.017444584959144672,0.017083795741351344,0.02228708551270369
hive-baseline,0.053424936015544745,0.015531491765665881,0.017550279995298453,0.016882884224379214,0.07525263933544647
infinispan-baseline,0.09110946782168647,0.07796808374745734,0.0759454645783619,0.060881359916729695,0.1124406975075187
lucene-baseline,0.06038720339981808,0.05388907177385564,0.05452805662638274,0.05384737844751414,0.08464701773062507
spark-baseline,0.01922947091851207,0.013201682395303622,0.01513873321634287,0.012617152420253562,0.02641820093378466
wildfly-baseline,0.0484794968731792,0.02901183923066404,0.028117622480220653,0.027536915122876388,0.06091686928768307
cassandra-lower,0.03538646534133192,0.02086157366124508,0.020736774175495028,0.018807241606022405,0.03598202954889382
groovy-lower,0.17939703175570068,0.15751576097588202,0.14504379666305448,0.16071169167052446,0.20319834683149354
hadoop-lower,0.004548469492181386,0.003393469971788818,0.003947263921000848,0.0034378708846713154,0.006888134363808564
hbase-lower,0.02319947608016361,0.01847807402297659,0.018145304668568986,0.017083795741351344,0.02228708551270369
hive-lower,0.053424936015544745,0.01998432237420156,0.017677363993906497,0.016882884224379214,0.07525263933544647
infinispan-lower,0.09110946782168647,0.08070910912951827,0.07381398025243946,0.060881359916729695,0.1124406975075187
lucene-lower,0.06038720339981808,0.053319523006280484,0.054197994508524576,0.05384737844751414,0.08464701773062507
spark-lower,0.01922947091851207,0.013640564560281584,0.012944718741444221,0.012617152420253562,0.02641820093378466
wildfly-lower,0.0484794968731792,0.028244947585486672,0.029957083675031672,0.027536915122876388,0.06091686928768307
cassandra-camel,0.032155266939130296,0.020813827993034686,0.02114686601535573,0.020997108569667307,0.037245282113143055
groovy-camel,0.20462841268545778,0.1533142771815231,0.14742410814419232,0.15368088847379263,0.19601880715989314
hadoop-camel,0.005027672364292363,0.003342461868096732,0.0036737643817384385,0.003064510752055717,0.0063985972386868826
hbase-camel,0.02445376555490068,0.01809821933397731,0.01759194630893037,0.01782117358207924,0.02243641529192014
hive-camel,0.027868262012732292,0.015653381223986955,0.016619907352671447,0.01783802419579258,0.048068905489058386
infinispan-camel,0.08762833946096107,0.06657399069094774,0.07430432404098423,0.0641082510999288,0.11538905573233985
lucene-camel,0.07296487278405665,0.05047273973671177,0.05545633402881793,0.05401524549330072,0.09073875431079421
spark-camel,0.021586441250936818,0.013940111886995704,0.013589444558345274,0.01403507910604144,0.026360769580130512
wildfly-camel,0.04799294617992169,0.02892428810119661,0.028568171719388073,0.028518301070665567,0.06383610861166429
cassandra-lowcamel,0.032155266939130296,0.022340080097688435,0.021103008656103192,0.020997108569667307,0.037245282113143055
groovy-lowcamel,0.20462841268545778,0.15609158570083956,0.16523930282410892,0.15368088847379263,0.19601880715989314
hadoop-lowcamel,0.005027672364292363,0.003350306886051045,0.004467874311966718,0.003064510752055717,0.0063985972386868826
hbase-lowcamel,0.02445376555490068,0.019259086243497724,0.01915246636900652,0.01782117358207924,0.02243641529192014
hive-lowcamel,0.027868262012732292,0.016344816174881822,0.020379540800622147,0.01783802419579258,0.048068905489058386
infinispan-lowcamel,0.08762833946096107,0.07556772976659326,0.07813200002308836,0.0641082510999288,0.11538905573233985
lucene-lowcamel,0.07296487278405665,0.05668131619208907,0.05780319255419652,0.05401524549330072,0.09073875431079421
spark-lowcamel,0.021586441250936818,0.01204761107560952,0.015083594850555012,0.01403507910604144,0.026360769580130512
wildfly-lowcamel,0.04799294617992169,0.02887308335305047,0.030317387838666346,0.028518301070665567,0.06383610861166429
cassandra-stop,0.03615308842527837,0.02378875170219136,0.02623550724137309,0.019127401266979795,0.03756613937125255
groovy-stop,0.20859477299587928,0.1529195614781057,0.1803604976156408,0.14946361517467582,0.21022606417056874
hadoop-stop,0.005548224350906967,0.0036538980410694834,0.0043576216905707645,0.003137294172807201,0.006142175510387915
hbase-stop,0.02020518046523746,0.01742092054461426,0.01826691319086212,0.01746048596531293,0.021489531525989532
hive-stop,0.02931276973014257,0.01692645190767985,0.02206406603076637,0.01820457733924075,0.044290651918259344
infinispan-stop,0.0906802864408065,0.08144619539676666,0.0809116706046594,0.06405343829636782,0.11111618787932585
lucene-stop,0.08177627642275193,0.05503165307833574,0.06496921021401923,0.047672518758586094,0.09025023434528927
spark-stop,0.020678862327745354,0.012607435411571596,0.01669112294799031,0.012985034577315521,0.025517661576609646
wildfly-stop,0.050014472447336845,0.029752786537126125,0.03465881251879718,0.02938204986838655,0.06128478159471669
cassandra-lemma,0.03458661834092099,0.023646462872724944,0.02710350227164678,0.018784972642265585,0.03424871334928312
groovy-lemma,0.2149200008174047,0.15591249400326926,0.17835458221971565,0.15656763818351133,0.2122907081012232
hadoop-lemma,0.006268701094842287,0.003710694429968035,0.00467542407215604,0.003202108941301733,0.00623348323339135
hbase-lemma,0.024034725066697144,0.017506767974923614,0.018522512639301183,0.017387562504759833,0.02123437625705579
hive-lemma,0.030124485766140213,0.018012547905024955,0.021408747235561344,0.021996367767121088,0.04853187051047184
infinispan-lemma,0.09639224223973245,0.07553362829852278,0.08744852022880481,0.06389205602693503,0.11076817542764303
lucene-lemma,0.07919849514041756,0.055276699877761085,0.06292745010751226,0.049367257855872045,0.08985631154972033
spark-lemma,0.02003042889576975,0.013922854927075954,0.01756457679721948,0.013569278583811423,0.02537771519086238
wildfly-lemma,0.05489138585972854,0.029580740714394777,0.03768640305993514,0.029121137079144616,0.06363477534721566
