,tfidf,w2v,d2v,bert,sbert
cassandra-baseline,0.9341438209299678,0.7247112781632652,0.4276292629757566,0.2909677725654197,0.7690615974706693
groovy-baseline,0.9106215315698496,0.7213914414454231,0.41634754942891666,0.28813270715646566,0.7268102961205398
hadoop-baseline,0.9653711215685719,0.7562887326499427,0.4629088549500531,0.30752604632383046,0.8031857722701352
hbase-baseline,0.9474947821290296,0.725563409017856,0.4456033605770061,0.2994343550875643,0.7731211069789086
hive-baseline,0.9413177848785659,0.7967421912205688,0.46494804325348765,0.29663949664900763,0.7778864729688311
infinispan-baseline,0.9109807845615351,0.5921039887959902,0.3905108283036706,0.268601104210845,0.7373878318345952
lucene-baseline,0.9355476207660937,0.6774924894505093,0.43885498709726944,0.3028771591588344,0.7765387424505653
spark-baseline,0.9415756075563584,0.7681713349711972,0.45067468957842627,0.2940532136819171,0.7832023078041498
wildfly-baseline,0.9571018920682185,0.6986704293985003,0.44733713133033687,0.2863369497713559,0.7971726273437117
cassandra-lower,0.9341438209299678,0.8498848488021306,0.4776630380913385,0.2909677725654197,0.7690615974706693
groovy-lower,0.9106215315698496,0.8492231137714907,0.46753058605261977,0.28813270715646566,0.7268102961205398
hadoop-lower,0.9653711215685719,0.8846816150953221,0.5170065942037809,0.30752604632383046,0.8031857722701352
hbase-lower,0.9474947821290296,0.8678401727326014,0.49939213370736174,0.2994343550875643,0.7731211069789086
hive-lower,0.9413177848785659,0.9282275480263097,0.5221402665725441,0.29663949664900763,0.7778864729688311
infinispan-lower,0.9109807845615351,0.7188140552355571,0.43884158459946443,0.268601104210845,0.7373878318345952
lucene-lower,0.9355476207660937,0.791964695873629,0.48411034940812203,0.3028771591588344,0.7765387424505653
spark-lower,0.9415756075563584,0.9279030274093442,0.5146917312601449,0.2940532136819171,0.7832023078041498
wildfly-lower,0.9571018920682185,0.8241464078920615,0.5025569774479988,0.2863369497713559,0.7971726273437117
cassandra-camel,0.9243321723381627,0.6555487981442085,0.4322299812740881,0.29461516814918465,0.7696947098220965
groovy-camel,0.8989752854205345,0.6834257338916377,0.4254785974588127,0.29767373836773264,0.7213359759726912
hadoop-camel,0.9521285611091271,0.6764574788431574,0.4760507277143468,0.2902812324638239,0.8046400069098162
hbase-camel,0.9346344934496644,0.6561368750012878,0.46355300505107644,0.2994255629527752,0.776118189149957
hive-camel,0.931719039254182,0.7121141026522834,0.4730088109994853,0.2669383183957729,0.7766108008708522
infinispan-camel,0.8941935467327203,0.54163175212777,0.40889481086326995,0.29337345647187807,0.7328999049113792
lucene-camel,0.9170736604397131,0.6030793939843525,0.45521500317130054,0.30439689402191894,0.7679823336850081
spark-camel,0.9323526806365295,0.6993235720117762,0.4624148542753805,0.30135938897530357,0.7814732593645687
wildfly-camel,0.9451708196083826,0.6164211968141996,0.45221707753356133,0.29146006800140883,0.8040462757653254
cassandra-lowcamel,0.9243321723381627,0.8624025851975023,0.5298795332581631,0.29461516814918465,0.7696947098220965
groovy-lowcamel,0.8989752854205345,0.9235175430617278,0.5267850026121673,0.29767373836773264,0.7213359759726912
hadoop-lowcamel,0.9521285611091271,0.9706107123887577,0.6091527735836998,0.2902812324638239,0.8046400069098162
hbase-lowcamel,0.9346344934496644,0.9820849464803167,0.60054007392062,0.2994255629527752,0.776118189149957
hive-lowcamel,0.931719039254182,0.9382716072422763,0.5829657602912338,0.2669383183957729,0.7766108008708522
infinispan-lowcamel,0.8941935467327203,0.8242684512968851,0.5384417087372576,0.29337345647187807,0.7328999049113792
lucene-lowcamel,0.9170736604397131,0.9297436027842114,0.6019584545267004,0.30439689402191894,0.7679823336850081
spark-lowcamel,0.9323526806365295,0.9750243333793004,0.5903539554945273,0.30135938897530357,0.7814732593645687
wildfly-lowcamel,0.9451708196083826,0.8449215270435898,0.5710680756781218,0.29146006800140883,0.8040462757653254
cassandra-stop,0.9217260615764319,1.033727733781901,0.42102820012545344,0.2911476132054708,0.7721343152882701
groovy-stop,0.893662610651222,1.1221489247964556,0.4142604337125702,0.28095163225557906,0.7300670902940837
hadoop-stop,0.9490760704861056,1.2099299700544448,0.4905899319429969,0.31536072660752507,0.8072976900142225
hbase-stop,0.9285331523797171,1.2023707188542216,0.4830161423020877,0.3037729801086049,0.7787360223861127
hive-stop,0.929109078501561,1.152739161439646,0.47274736446176685,0.28731156169105077,0.7782393747164887
infinispan-stop,0.8905651341227997,0.9796199602898149,0.4268411700560951,0.29165094711740547,0.7369294672159582
lucene-stop,0.9135412090484347,1.14887795702225,0.4884896949848395,0.3078432170820475,0.7726247248759156
spark-stop,0.9287033092188186,1.2199814376446374,0.4826039368749033,0.31836026197875433,0.786721621369385
wildfly-stop,0.9425645931338202,1.0116988698568252,0.4599065710810729,0.286644113681417,0.8096524545818731
cassandra-lemma,0.9058192784967303,1.3502014073147204,0.4893960943408461,0.2882236283180024,0.77563115082085
groovy-lemma,0.8789112028856223,1.4514891498752314,0.47941749460325395,0.2765664774284504,0.733551140179156
hadoop-lemma,0.9376332546073164,1.4861567573478167,0.5541145843986099,0.3134776568153569,0.8097208897656151
hbase-lemma,0.9162133560692768,1.4466917761623275,0.5400050336257587,0.29984563551538146,0.7814018668446052
hive-lemma,0.9160013342850892,1.3965138924520601,0.5281172295812748,0.2830580568958582,0.7833678243701255
infinispan-lemma,0.8733326136558839,1.249073278558427,0.490060901370959,0.28807439809628643,0.7415622756708177
lucene-lemma,0.8999922053147511,1.4226756916765229,0.5536650403808442,0.30364109428383596,0.7754919007115366
spark-lemma,0.9166631769039221,1.4655603738377614,0.5396071593595199,0.31372908343097866,0.7878438102455506
wildfly-lemma,0.9301314961780779,1.2728460251387657,0.5172924271030003,0.28124101796409845,0.8109190935603628
