,tfidf,w2v,d2v,bert,sbert
cassandra-baseline,0.7098214285714286,0.2958333333333333,0.3901785714285714,0.4699404761904762,0.4354166666666667
groovy-baseline,0.6358892011240466,0.276595744680851,0.3990365315134484,0.41910879164993975,0.4600562023283822
hadoop-baseline,0.7455492309555529,0.37071575632796416,0.4743853699891002,0.5200435993702313,0.5191958338379556
hbase-baseline,0.704254824459428,0.368518949081609,0.4773308532899325,0.5040688212043711,0.5001162520344107
hive-baseline,0.7129464285714286,0.3810267857142857,0.4988839285714286,0.5116071428571429,0.5203125
infinispan-baseline,0.5919117647058824,0.29090073529411764,0.3805147058823529,0.42141544117647056,0.4283088235294118
lucene-baseline,0.6834713719841556,0.3770255671588044,0.40151242347857397,0.4605689593086064,0.4713719841555636
spark-baseline,0.6919923476359662,0.367313473626674,0.4069417873735993,0.4635146214812791,0.48783820716042636
wildfly-baseline,0.7417358736362156,0.332844813548282,0.42045269500081417,0.5074092167399447,0.5271128480703469
cassandra-lower,0.7098214285714286,0.3666666666666667,0.4318452380952381,0.4699404761904762,0.4354166666666667
groovy-lower,0.6358892011240466,0.4175030108390205,0.40786832597350464,0.41910879164993975,0.4600562023283822
hadoop-lower,0.7455492309555529,0.3793145210124743,0.49800169553106455,0.5200435993702313,0.5191958338379556
hbase-lower,0.704254824459428,0.37572657521506625,0.4326900720762613,0.5040688212043711,0.5001162520344107
hive-lower,0.7129464285714286,0.4013392857142857,0.4591517857142857,0.5116071428571429,0.5203125
infinispan-lower,0.5919117647058824,0.31433823529411764,0.38740808823529416,0.42141544117647056,0.4283088235294118
lucene-lower,0.6834713719841556,0.3226503420957868,0.36622254231184737,0.4605689593086064,0.4713719841555636
spark-lower,0.6919923476359662,0.39600983875375784,0.4793659469800492,0.4635146214812791,0.48783820716042636
wildfly-lower,0.7417358736362156,0.41752157629050646,0.4852629864842859,0.5074092167399447,0.5271128480703469
cassandra-camel,0.6973214285714286,0.3413690476190476,0.40922619047619047,0.4425595238095238,0.45952380952380956
groovy-camel,0.5363307908470494,0.30188679245283023,0.33801686069851467,0.44961862705740663,0.43757527097551185
hadoop-camel,0.7536635581930483,0.4225505631585321,0.4895240402083081,0.5156836623470995,0.5133825844737798
hbase-camel,0.6744943036503139,0.34573355033713093,0.40920716112531974,0.49035108114392,0.4945361543827017
hive-camel,0.6803571428571429,0.3488839285714286,0.4553571428571429,0.4955357142857143,0.5129464285714286
infinispan-camel,0.6098345588235294,0.328125,0.37178308823529416,0.41590073529411764,0.44071691176470584
lucene-camel,0.6139719121353979,0.3392149801944544,0.3921498019445445,0.43032048973712644,0.4738926899531869
spark-camel,0.7127630500136649,0.3498223558349276,0.43181197048373876,0.46515441377425526,0.49467067504782725
wildfly-camel,0.7433642729197198,0.34163816967920535,0.4155674971503013,0.4973131411822179,0.5144113336590133
cassandra-lowcamel,0.6973214285714286,0.3553571428571428,0.4681547619047619,0.4425595238095238,0.45952380952380956
groovy-lowcamel,0.5363307908470494,0.38016860698514654,0.3902047370533922,0.44961862705740663,0.43757527097551185
hadoop-lowcamel,0.7536635581930483,0.41043962698316583,0.5170158653263897,0.5156836623470995,0.5133825844737798
hbase-lowcamel,0.6744943036503139,0.3859567542431993,0.4966286910020925,0.49035108114392,0.4945361543827017
hive-lowcamel,0.6803571428571429,0.4002232142857143,0.47120535714285716,0.4955357142857143,0.5129464285714286
infinispan-lowcamel,0.6098345588235294,0.3295036764705882,0.4545036764705882,0.41590073529411764,0.44071691176470584
lucene-lowcamel,0.6139719121353979,0.405473532589125,0.46777097587324445,0.43032048973712644,0.4738926899531869
spark-lowcamel,0.7127630500136649,0.4315386717682427,0.47854605083356105,0.46515441377425526,0.49467067504782725
wildfly-lowcamel,0.7433642729197198,0.41735873636215604,0.49487054225696137,0.4973131411822179,0.5144113336590133
cassandra-stop,0.6642857142857144,0.35119047619047616,0.4470238095238095,0.4458333333333333,0.4776785714285714
groovy-stop,0.5692492974708951,0.33400240867121633,0.4343637093536732,0.4383781613809715,0.4692894419911682
hadoop-stop,0.6927455492309555,0.41613176698558796,0.48286302531185665,0.5218602397965363,0.5258568487344072
hbase-stop,0.6721692629621019,0.3671239246686817,0.4736107881887933,0.4791908858405022,0.5259242036735643
hive-stop,0.6794642857142856,0.4113839285714286,0.5122767857142857,0.4805803571428572,0.4794642857142857
infinispan-stop,0.5703125,0.33777573529411764,0.3947610294117647,0.44715073529411764,0.45266544117647056
lucene-stop,0.602448685631977,0.3896290961469211,0.4404033129276197,0.45192653943104066,0.4710118833273317
spark-stop,0.6605629953539218,0.4233397103033616,0.44383711396556436,0.4790926482645531,0.4659743099207434
wildfly-stop,0.7039570102589154,0.3639472398632144,0.44992672203224227,0.4930793030451066,0.5357433642729197
cassandra-lemma,0.6443452380952381,0.4526785714285714,0.4660714285714286,0.47291666666666665,0.45446428571428577
groovy-lemma,0.5303091128061019,0.3970293054997993,0.37575270975511843,0.4600562023283822,0.4508229626655962
hadoop-lemma,0.6579871624076541,0.44943684146784546,0.5062371321303136,0.48601186871745183,0.5424488312946592
